Date,Date_add,Weekday,Symbol,Strategy,Buy_Level,Buy_Price,Buy Price,Executed,Executed_Price,Shares_Purchased,Shares Purchased,Dollars_Invested,Dollars Invested,Cumulative Shares,Cumulative Invested,Cumulative Value,Close,Previous_Close
2024-10-31,2024-10-31,Thursday,TOPT,Buy_on_Dip,1,24.6678,24.6678,True,24.6678,1,1,24.6678,24.6678,1,24.6678,24.1891,24.1891,24.917
2024-10-31,2024-10-31,Thursday,TOPT,Buy_on_Dip,2,24.4187,24.4187,True,24.4187,1,1,24.4187,24.4187,2,49.0865,48.3783,24.1891,24.917
2024-11-11,2024-11-11,Monday,TOPT,Buy_on_Dip,1,25.3884,25.3884,True,25.3884,1,1,25.3884,25.3884,3,74.4749,76.5457,25.5152,25.6449
2024-11-15,2024-11-15,Friday,TOPT,Buy_on_Dip,1,25.1022,25.1022,True,25.1022,1,1,25.1022,25.1022,4,99.5771,99.7079,24.927,25.3557
2024-11-15,2024-11-15,Friday,TOPT,Buy_on_Dip,2,24.8486,24.8486,True,24.8486,1,1,24.8486,24.8486,5,124.4257,124.6349,24.927,25.3557
2024-11-20,2024-11-20,Wednesday,TOPT,Buy_on_Dip,1,25.0034,25.0034,True,25.0034,1,1,25.0034,25.0034,6,149.4291,151.2968,25.2161,25.256
2024-11-21,2024-11-21,Thursday,TOPT,Buy_on_Dip,1,24.964,24.964,True,24.964,1,1,24.964,24.964,7,174.3931,176.3733,25.1962,25.2161
2024-12-18,2024-12-18,Wednesday,TOPT,Buy_on_Dip,1,26.5334,26.5334,True,26.5334,1,1,26.5334,26.5334,8,200.9265,207.866,25.9832,26.8015
2024-12-18,2024-12-18,Wednesday,TOPT,Buy_on_Dip,2,26.2654,26.2654,True,26.2654,1,1,26.2654,26.2654,9,227.1919,233.8492,25.9832,26.8015
2024-12-18,2024-12-18,Wednesday,TOPT,Buy_on_Dip,3,25.9974,25.9974,True,25.9974,1,1,25.9974,25.9974,10,253.1893,259.8325,25.9832,26.8015
2024-12-27,2024-12-27,Friday,TOPT,Buy_on_Dip,1,26.6619,26.6619,True,26.6619,1,1,26.6619,26.6619,11,279.8512,291.9623,26.542,26.9312
2024-12-27,2024-12-27,Friday,TOPT,Buy_on_Dip,2,26.3926,26.3926,True,26.3926,1,1,26.3926,26.3926,12,306.2438,318.5043,26.542,26.9312
2024-12-30,2024-12-30,Monday,TOPT,Buy_on_Dip,1,26.2766,26.2766,True,26.2766,1,1,26.2766,26.2766,13,332.5204,341.0251,26.2327,26.542
2024-12-31,2024-12-31,Tuesday,TOPT,Buy_on_Dip,1,25.9704,25.9704,True,25.9704,1,1,25.9704,25.9704,14,358.4908,364.0448,26.0032,26.2327
2025-01-02,2025-01-02,Thursday,TOPT,Buy_on_Dip,1,25.7432,25.7432,True,25.7432,1,1,25.7432,25.7432,15,384.234,388.701,25.9134,26.0032
2025-01-07,2025-01-07,Tuesday,TOPT,Buy_on_Dip,1,26.2964,26.2964,True,26.2964,1,1,26.2964,26.2964,16,410.5304,417.1688,26.073,26.562
2025-01-07,2025-01-07,Tuesday,TOPT,Buy_on_Dip,2,26.0307,26.0307,True,26.0307,1,1,26.0307,26.0307,17,436.5611,443.2418,26.073,26.562
2025-01-10,2025-01-10,Friday,TOPT,Buy_on_Dip,1,25.8518,25.8518,True,25.8518,1,1,25.8518,25.8518,18,462.4129,463.2082,25.7338,26.113
2025-01-10,2025-01-10,Friday,TOPT,Buy_on_Dip,2,25.5907,25.5907,True,25.5907,1,1,25.5907,25.5907,19,488.0036,488.942,25.7338,26.113
2025-01-13,2025-01-13,Monday,TOPT,Buy_on_Dip,1,25.4765,25.4765,True,25.4765,1,1,25.4765,25.4765,20,513.4801,513.2788,25.6639,25.7338
2025-01-14,2025-01-14,Tuesday,TOPT,Buy_on_Dip,1,25.4073,25.4073,True,25.4073,1,1,25.4073,25.4073,21,538.8874,535.7996,25.5143,25.6639
2025-01-16,2025-01-16,Thursday,TOPT,Buy_on_Dip,1,25.8716,25.8716,True,25.8716,1,1,25.8716,25.8716,22,564.759,568.3386,25.8336,26.1329
2025-01-27,2025-01-27,Monday,TOPT,Buy_on_Dip,1,26.3951,26.3951,True,26.3951,1,1,26.3951,26.3951,23,591.1541,596.0081,25.9134,26.6618
2025-01-27,2025-01-27,Monday,TOPT,Buy_on_Dip,2,26.1285,26.1285,True,26.1285,1,1,26.1285,26.1285,24,617.2826,621.9215,25.9134,26.6618
2025-01-27,2025-01-27,Monday,TOPT,Buy_on_Dip,3,25.8619,25.8619,True,25.8619,1,1,25.8619,25.8619,25,643.1445,647.8349,25.9134,26.6618
2025-01-29,2025-01-29,Wednesday,TOPT,Buy_on_Dip,1,26.2173,26.2173,True,26.2173,1,1,26.2173,26.2173,26,669.3618,683.6068,26.2926,26.4822
2025-02-03,2025-02-03,Monday,TOPT,Buy_on_Dip,1,25.9111,25.9111,True,25.9111,1,1,25.9111,25.9111,27,695.2729,698.3147,25.8635,26.1728
2025-02-03,2025-02-03,Monday,TOPT,Buy_on_Dip,2,25.6494,25.6494,True,25.6494,1,1,25.6494,25.6494,28,720.9223,724.1782,25.8635,26.1728
2025-02-07,2025-02-07,Friday,TOPT,Buy_on_Dip,1,26.3062,26.3062,True,26.3062,1,1,26.3062,26.3062,29,747.2285,762.4845,26.2926,26.572
2025-02-12,2025-02-12,Wednesday,TOPT,Buy_on_Dip,1,26.2568,26.2568,True,26.2568,1,1,26.2568,26.2568,30,773.4853,795.0633,26.5021,26.5221
2025-02-20,2025-02-20,Thursday,TOPT,Buy_on_Dip,1,26.652,26.652,True,26.652,1,1,26.652,26.652,31,800.1373,829.9173,26.7715,26.9212
2025-02-21,2025-02-21,Friday,TOPT,Buy_on_Dip,1,26.5038,26.5038,True,26.5038,1,1,26.5038,26.5038,32,826.6411,839.4465,26.2327,26.7715
2025-02-21,2025-02-21,Friday,TOPT,Buy_on_Dip,2,26.2361,26.2361,True,26.2361,1,1,26.2361,26.2361,33,852.8772,865.6792,26.2327,26.7715
2025-02-25,2025-02-25,Tuesday,TOPT,Buy_on_Dip,1,25.7629,25.7629,True,25.7629,1,1,25.7629,25.7629,34,878.6401,877.3237,25.8036,26.0232
2025-02-27,2025-02-27,Thursday,TOPT,Buy_on_Dip,1,25.5851,25.5851,True,25.5851,1,1,25.5851,25.5851,35,904.2252,883.57,25.2449,25.8435
2025-02-27,2025-02-27,Thursday,TOPT,Buy_on_Dip,2,25.3267,25.3267,True,25.3267,1,1,25.3267,25.3267,36,929.5519,908.8149,25.2449,25.8435
2025-03-03,2025-03-03,Monday,TOPT,Buy_on_Dip,1,25.4863,25.4863,True,25.4863,1,1,25.4863,25.4863,37,955.0382,927.7834,25.0752,25.7438
2025-03-03,2025-03-03,Monday,TOPT,Buy_on_Dip,2,25.2289,25.2289,True,25.2289,1,1,25.2289,25.2289,38,980.2671,952.8587,25.0752,25.7438
2025-03-03,2025-03-03,Monday,TOPT,Buy_on_Dip,3,24.9715,24.9715,True,24.9715,1,1,24.9715,24.9715,39,1005.2386,977.9339,25.0752,25.7438
2025-03-04,2025-03-04,Tuesday,TOPT,Buy_on_Dip,1,24.8245,24.8245,True,24.8245,1,1,24.8245,24.8245,40,1030.0631,994.2284,24.8557,25.0752
2025-03-04,2025-03-04,Tuesday,TOPT,Buy_on_Dip,2,24.5737,24.5737,True,24.5737,1,1,24.5737,24.5737,41,1054.6368,1019.0841,24.8557,25.0752
2025-03-06,2025-03-06,Thursday,TOPT,Buy_on_Dip,1,24.9134,24.9134,True,24.9134,1,1,24.9134,24.9134,42,1079.5502,1033.4626,24.6063,25.165
2025-03-06,2025-03-06,Thursday,TOPT,Buy_on_Dip,2,24.6617,24.6617,True,24.6617,1,1,24.6617,24.6617,43,1104.2119,1058.0689,24.6063,25.165
2025-03-07,2025-03-07,Friday,TOPT,Buy_on_Dip,1,24.3602,24.3602,True,24.3602,1,1,24.3602,24.3602,44,1128.5721,1083.9923,24.6362,24.6063
2025-03-10,2025-03-10,Monday,TOPT,Buy_on_Dip,1,24.3898,24.3898,True,24.3898,1,1,24.3898,24.3898,45,1152.9619,1067.3187,23.7182,24.6362
2025-03-10,2025-03-10,Monday,TOPT,Buy_on_Dip,2,24.1435,24.1435,True,24.1435,1,1,24.1435,24.1435,46,1177.1054,1091.0369,23.7182,24.6362
2025-03-10,2025-03-10,Monday,TOPT,Buy_on_Dip,3,23.8971,23.8971,True,23.8971,1,1,23.8971,23.8971,47,1201.0025,1114.7551,23.7182,24.6362
2025-03-10,2025-03-10,Monday,TOPT,Buy_on_Dip,4,23.6507,23.6507,True,23.6507,1,1,23.6507,23.6507,48,1224.6532,1138.4733,23.7182,24.6362
2025-03-11,2025-03-11,Tuesday,TOPT,Buy_on_Dip,1,23.481,23.481,True,23.481,1,1,23.481,23.481,49,1248.1342,1157.7911,23.6284,23.7182
2025-03-13,2025-03-13,Thursday,TOPT,Buy_on_Dip,1,23.6391,23.6391,True,23.6391,1,1,23.6391,23.6391,50,1271.7733,1175.4325,23.5086,23.8778
2025-03-18,2025-03-18,Tuesday,TOPT,Buy_on_Dip,1,23.8663,23.8663,True,23.8663,1,1,23.8663,23.8663,51,1295.6396,1209.862,23.7228,24.1073
2025-03-26,2025-03-26,Wednesday,TOPT,Buy_on_Dip,1,24.5832,24.5832,True,24.5832,1,1,24.5832,24.5832,52,1320.2228,1265.7879,24.3421,24.8315
2025-03-26,2025-03-26,Wednesday,TOPT,Buy_on_Dip,2,24.3349,24.3349,True,24.3349,1,1,24.3349,24.3349,53,1344.5577,1290.13,24.3421,24.8315
2025-03-28,2025-03-28,Friday,TOPT,Buy_on_Dip,1,24.0591,24.0591,True,24.0591,1,1,24.0591,24.0591,54,1368.6168,1280.4909,23.7128,24.3021
2025-03-28,2025-03-28,Friday,TOPT,Buy_on_Dip,2,23.8161,23.8161,True,23.8161,1,1,23.8161,23.8161,55,1392.4329,1304.2037,23.7128,24.3021
2025-03-31,2025-03-31,Monday,TOPT,Buy_on_Dip,1,23.4757,23.4757,True,23.4757,1,1,23.4757,23.4757,56,1415.9086,1332.3914,23.7927,23.7128
2025-03-31,2025-03-31,Monday,TOPT,Buy_on_Dip,2,23.2385,23.2385,True,23.2385,1,1,23.2385,23.2385,57,1439.1471,1356.1841,23.7927,23.7128
2025-04-02,2025-04-02,Wednesday,TOPT,Buy_on_Dip,1,23.6833,23.6833,True,23.6833,1,1,23.6833,23.6833,58,1462.8304,1397.357,24.0924,23.9226
2025-04-03,2025-04-03,Thursday,TOPT,Buy_on_Dip,1,23.8514,23.8514,True,23.8514,1,1,23.8514,23.8514,59,1486.6818,1348.3731,22.8538,24.0924
2025-04-03,2025-04-03,Thursday,TOPT,Buy_on_Dip,2,23.6105,23.6105,True,23.6105,1,1,23.6105,23.6105,60,1510.2923,1371.2268,22.8538,24.0924
2025-04-03,2025-04-03,Thursday,TOPT,Buy_on_Dip,3,23.3696,23.3696,True,23.3696,1,1,23.3696,23.3696,61,1533.6619,1394.0806,22.8538,24.0924
2025-04-03,2025-04-03,Thursday,TOPT,Buy_on_Dip,4,23.1287,23.1287,True,23.1287,1,1,23.1287,23.1287,62,1556.7906,1416.9344,22.8538,24.0924
2025-04-03,2025-04-03,Thursday,TOPT,Buy_on_Dip,5,22.8877,22.8877,True,22.8877,1,1,22.8877,22.8877,63,1579.6783,1439.7882,22.8538,24.0924
2025-04-04,2025-04-04,Friday,TOPT,Buy_on_Dip,1,22.6252,22.6252,True,22.6252,1,1,22.6252,22.6252,64,1602.3035,1374.4232,21.4754,22.8538
2025-04-04,2025-04-04,Friday,TOPT,Buy_on_Dip,2,22.3967,22.3967,True,22.3967,1,1,22.3967,22.3967,65,1624.7002,1395.8986,21.4754,22.8538
2025-04-04,2025-04-04,Friday,TOPT,Buy_on_Dip,3,22.1682,22.1682,True,22.1682,1,1,22.1682,22.1682,66,1646.8684,1417.3739,21.4754,22.8538
2025-04-04,2025-04-04,Friday,TOPT,Buy_on_Dip,4,21.9396,21.9396,True,21.9396,1,1,21.9396,21.9396,67,1668.808,1438.8493,21.4754,22.8538
2025-04-04,2025-04-04,Friday,TOPT,Buy_on_Dip,5,21.7111,21.7111,True,21.7111,1,1,21.7111,21.7111,68,1690.5191,1460.3247,21.4754,22.8538
2025-04-04,2025-04-04,Friday,TOPT,Buy_on_Dip,6,21.4826,21.4826,True,21.4826,1,1,21.4826,21.4826,69,1712.0017,1481.8,21.4754,22.8538
2025-04-07,2025-04-07,Monday,TOPT,Buy_on_Dip,1,21.2606,21.2606,True,21.2606,1,1,21.2606,21.2606,70,1733.2623,1504.6738,21.4953,21.4754
2025-04-07,2025-04-07,Monday,TOPT,Buy_on_Dip,2,21.0459,21.0459,True,21.0459,1,1,21.0459,21.0459,71,1754.3082,1526.1692,21.4953,21.4754
2025-04-07,2025-04-07,Monday,TOPT,Buy_on_Dip,3,20.8311,20.8311,True,20.8311,1,1,20.8311,20.8311,72,1775.1393,1547.6645,21.4953,21.4754
2025-04-07,2025-04-07,Monday,TOPT,Buy_on_Dip,4,20.6163,20.6163,True,20.6163,1,1,20.6163,20.6163,73,1795.7556,1569.1598,21.4953,21.4754
2025-04-07,2025-04-07,Monday,TOPT,Buy_on_Dip,5,20.4016,20.4016,True,20.4016,1,1,20.4016,20.4016,74,1816.1572,1590.6552,21.4953,21.4754
2025-04-08,2025-04-08,Tuesday,TOPT,Buy_on_Dip,1,21.2804,21.2804,True,21.2804,1,1,21.2804,21.2804,75,1837.4376,1591.9237,21.2256,21.4953
2025-04-08,2025-04-08,Tuesday,TOPT,Buy_on_Dip,2,21.0654,21.0654,True,21.0654,1,1,21.0654,21.0654,76,1858.503,1613.1493,21.2256,21.4953
2025-04-10,2025-04-10,Thursday,TOPT,Buy_on_Dip,1,23.3175,23.3175,True,23.3175,1,1,23.3175,23.3175,77,1881.8205,1752.05,22.7539,23.553
2025-04-10,2025-04-10,Thursday,TOPT,Buy_on_Dip,2,23.0819,23.0819,True,23.0819,1,1,23.0819,23.0819,78,1904.9024,1774.8039,22.7539,23.553
2025-04-10,2025-04-10,Thursday,TOPT,Buy_on_Dip,3,22.8464,22.8464,True,22.8464,1,1,22.8464,22.8464,79,1927.7488,1797.5578,22.7539,23.553
2025-04-10,2025-04-10,Thursday,TOPT,Buy_on_Dip,4,22.6109,22.6109,True,22.6109,1,1,22.6109,22.6109,80,1950.3597,1820.3117,22.7539,23.553
2025-04-10,2025-04-10,Thursday,TOPT,Buy_on_Dip,5,22.3753,22.3753,True,22.3753,1,1,22.3753,22.3753,81,1972.735,1843.0656,22.7539,23.553
2025-04-10,2025-04-10,Thursday,TOPT,Buy_on_Dip,6,22.1398,22.1398,True,22.1398,1,1,22.1398,22.1398,82,1994.8748,1865.8195,22.7539,23.553
2025-04-16,2025-04-16,Wednesday,TOPT,Buy_on_Dip,1,23.0999,23.0999,True,23.0999,1,1,23.0999,23.0999,83,2017.9747,1876.9666,22.6141,23.3332
2025-04-16,2025-04-16,Wednesday,TOPT,Buy_on_Dip,2,22.8666,22.8666,True,22.8666,1,1,22.8666,22.8666,84,2040.8413,1899.5807,22.6141,23.3332
2025-04-16,2025-04-16,Wednesday,TOPT,Buy_on_Dip,3,22.6332,22.6332,True,22.6332,1,1,22.6332,22.6332,85,2063.4745,1922.1947,22.6141,23.3332
2025-04-16,2025-04-16,Wednesday,TOPT,Buy_on_Dip,4,22.3999,22.3999,True,22.3999,1,1,22.3999,22.3999,86,2085.8744,1944.8088,22.6141,23.3332
2025-04-21,2025-04-21,Monday,TOPT,Buy_on_Dip,1,22.2989,22.2989,True,22.2989,1,1,22.2989,22.2989,87,2108.1733,1905.7238,21.9049,22.5242
2025-04-21,2025-04-21,Monday,TOPT,Buy_on_Dip,2,22.0737,22.0737,True,22.0737,1,1,22.0737,22.0737,88,2130.247,1927.6286,21.9049,22.5242
2025-04-21,2025-04-21,Monday,TOPT,Buy_on_Dip,3,21.8484,21.8484,True,21.8484,1,1,21.8484,21.8484,89,2152.0954,1949.5335,21.9049,22.5242
2025-04-28,2025-04-28,Monday,TOPT,Buy_on_Dip,1,23.6636,23.6636,True,23.6636,1,1,23.6636,23.6636,90,2175.759,2146.7371,23.8526,23.9026
2025-04-30,2025-04-30,Wednesday,TOPT,Buy_on_Dip,1,23.7328,23.7328,True,23.7328,1,1,23.7328,23.7328,91,2199.4918,2176.9526,23.9226,23.9725
2025-04-30,2025-04-30,Wednesday,TOPT,Buy_on_Dip,2,23.493,23.493,True,23.493,1,1,23.493,23.493,92,2222.9848,2200.8751,23.9226,23.9725
2025-05-05,2025-05-05,Monday,TOPT,Buy_on_Dip,1,24.3063,24.3063,True,24.3063,1,1,24.3063,24.3063,93,2247.2911,2259.1682,24.2921,24.5518
2025-05-06,2025-05-06,Tuesday,TOPT,Buy_on_Dip,1,24.0492,24.0492,True,24.0492,1,1,24.0492,24.0492,94,2271.3403,2266.5597,24.1123,24.2921
2025-05-15,2025-05-15,Thursday,TOPT,Buy_on_Dip,1,25.5325,25.5325,True,25.5325,1,1,25.5325,25.5325,95,2296.8728,2446.2937,25.7505,25.7904
2025-05-19,2025-05-19,Monday,TOPT,Buy_on_Dip,1,25.6215,25.6215,True,25.6215,1,1,25.6215,25.6215,96,2322.4943,2488.3455,25.9203,25.8803
2025-05-20,2025-05-20,Tuesday,TOPT,Buy_on_Dip,1,25.6611,25.6611,True,25.6611,1,1,25.6611,25.6611,97,2348.1554,2501.6701,25.7904,25.9203
2025-05-21,2025-05-21,Wednesday,TOPT,Buy_on_Dip,1,25.5325,25.5325,True,25.5325,1,1,25.5325,25.5325,98,2373.6879,2491.2421,25.4208,25.7904
2025-05-23,2025-05-23,Friday,TOPT,Buy_on_Dip,1,25.2062,25.2062,True,25.2062,1,1,25.2062,25.2062,99,2398.8941,2495.8966,25.2111,25.4608
2025-05-30,2025-05-30,Friday,TOPT,Buy_on_Dip,1,25.6215,25.6215,True,25.6215,1,1,25.6215,25.6215,100,2424.5156,2584.0357,25.8404,25.8803
2025-06-05,2025-06-05,Thursday,TOPT,Buy_on_Dip,1,25.9577,25.9577,True,25.9577,1,1,25.9577,25.9577,101,2450.4733,2615.9291,25.9003,26.2199
2025-06-13,2025-06-13,Friday,TOPT,Buy_on_Dip,1,26.2049,26.2049,True,26.2049,1,1,26.2049,26.2049,102,2476.6782,2667.3002,26.15,26.4696
2025-07-01,2025-07-01,Tuesday,TOPT,Buy_on_Dip,1,27.0171,27.0171,True,27.0171,1,1,27.0171,27.0171,103,2503.6953,2786.1499,27.05,27.29
2025-07-07,2025-07-07,Monday,TOPT,Buy_on_Dip,1,27.2745,27.2745,True,27.2745,1,1,27.2745,27.2745,104,2530.9698,2840.2399,27.31,27.55
2025-08-01,2025-08-01,Friday,TOPT,Buy_on_Dip,1,28.0665,28.0665,True,28.0665,1,1,28.0665,28.0665,105,2559.0363,2920.0499,27.81,28.35
2025-08-01,2025-08-01,Friday,TOPT,Buy_on_Dip,2,27.783,27.783,True,27.783,1,1,27.783,27.783,106,2586.8193,2947.8599,27.81,28.35
2025-08-19,2025-08-19,Tuesday,TOPT,Buy_on_Dip,1,28.7397,28.7397,True,28.7397,1,1,28.7397,28.7397,107,2615.559,3071.9699,28.71,29.03
2025-08-20,2025-08-20,Wednesday,TOPT,Buy_on_Dip,1,28.4229,28.4229,True,28.4229,1,1,28.4229,28.4229,108,2643.9819,3083.3999,28.55,28.71
2025-08-29,2025-08-29,Friday,TOPT,Buy_on_Dip,1,28.908,28.908,True,28.908,1,1,28.908,28.908,109,2672.8899,3151.19,28.91,29.2
